	RODE 0g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1760.000000	0.71	16.16	1.00
1768.000000	0.23	17.62	1.00
1776.000000	-0.29	19.25	1.00
1784.000000	0.20	20.68	1.00
1792.000000	0.94	19.18	1.00
1800.000000	1.19	16.65	1.00
1808.000000	1.04	13.44	1.00
1816.000000	0.90	10.31	1.00
1824.000000	0.62	8.36	1.00
1832.000000	0.25	7.49	1.00
1840.000000	-0.18	8.03	1.00
1848.000000	-0.60	9.23	1.00
1856.000000	-1.14	12.21	1.00
1866.665649	-0.52	20.62	0.99
1893.332275	0.54	25.90	0.99
1919.998901	0.61	11.90	0.98
1946.665527	-0.62	21.94	0.99
1973.332153	1.23	15.98	1.00
1999.998779	-0.52	6.66	1.00
2026.665405	-1.47	7.25	0.99
2053.332031	-0.45	-12.28	0.69
2079.998779	5.96	12.16	0.95
2106.665527	4.10	7.60	0.93
2133.332275	-1.00	9.64	0.94
2159.999023	-0.25	27.82	0.97
2186.665771	2.61	23.73	0.99
2213.332520	2.90	17.58	1.00
2239.999268	1.80	6.02	1.00
2266.666016	-0.46	5.03	0.99
2293.332764	0.06	16.49	0.99
2319.999512	0.30	20.37	1.00
2346.666260	0.18	27.41	1.00
2373.333008	1.26	21.57	0.98
2399.999756	2.48	23.34	0.96
2426.666504	2.60	1.64	0.98
2453.333252	-0.37	1.35	0.99
2480.000000	-2.69	21.63	0.97
2506.666748	0.56	53.16	0.91
2533.333496	3.49	32.13	0.95
2560.000244	2.36	4.69	0.97
2586.666992	-0.61	3.40	0.98
2613.333740	0.04	21.26	0.99
2640.000488	0.78	22.21	1.00
2666.667236	-0.88	35.63	0.99
2693.333984	0.31	57.95	0.94
2720.000732	4.98	43.65	0.97
2746.667480	3.25	-6.23	0.97
2773.334229	2.90	1.54	0.94
2800.000977	0.65	28.03	0.99
2826.667725	0.65	37.87	0.98
2853.334473	3.60	29.25	1.00
2880.001221	4.31	24.15	1.00
2906.667969	4.03	13.84	0.99
2933.334717	0.24	-7.38	0.97
2960.001465	-2.95	14.58	0.95
2986.668213	2.02	33.69	0.95
3013.334961	2.99	31.51	0.98
3040.001709	4.80	29.82	0.93
3066.668457	3.54	16.76	0.99
3093.335205	4.44	19.05	0.99
3120.001953	2.75	12.33	0.98
3146.668701	2.19	26.17	0.99
3173.335449	2.65	38.24	0.96
3200.002197	6.19	24.42	0.97
3226.668945	5.22	11.90	0.98
3253.335693	4.50	10.68	1.00
3280.002441	3.29	10.69	1.00
3306.669189	3.02	13.52	1.00
3333.335938	2.65	22.67	0.98
3360.002686	3.29	28.39	1.00
3386.669434	3.90	22.28	1.00
3413.336182	4.77	14.61	1.00
3440.002930	1.02	2.98	0.98
3466.669678	0.94	-4.06	0.97
3493.336426	0.29	14.95	0.98
3520.003174	4.05	36.56	0.96
3546.669922	5.42	22.97	0.95
3573.336670	5.78	-2.73	0.96
3600.003418	3.79	8.52	0.80
3626.670166	2.91	17.25	0.99
3653.336914	3.81	19.12	1.00
3680.003662	4.11	18.58	1.00
3706.670410	4.34	20.12	0.99
3733.337158	5.63	10.92	0.96
3760.003906	5.75	-2.59	0.99
3786.670654	2.23	-4.70	1.00
3813.337402	1.28	6.00	0.93
3840.004150	3.63	29.03	0.74
3866.670898	6.27	17.62	0.97
3893.337646	6.77	6.22	0.98
3920.004395	5.55	-1.62	0.95
3946.671143	4.67	9.17	0.99
3973.337891	3.79	13.35	1.00
4000.004639	4.97	16.40	0.99
4026.671387	5.77	19.45	0.98
4053.338135	5.89	12.01	1.00
4080.004883	5.25	8.28	0.98
4106.671387	4.08	2.19	0.98
4133.337891	3.45	13.07	0.98
4160.004395	4.47	19.20	0.97
4186.670898	7.36	10.08	0.90
4213.337402	7.81	-2.36	0.99
4240.003906	6.74	-2.60	1.00
4266.670410	4.43	-3.31	0.97
4293.336914	2.89	3.00	0.95
4320.003418	1.64	8.48	0.87
4346.669922	-0.72	-10.62	0.88
4373.336426	3.42	-10.86	0.98
4400.002930	4.53	-11.08	0.98
4426.669434	4.09	-9.28	0.99
4453.335938	3.61	-13.78	0.97
4480.002441	3.39	-0.63	0.99
4506.668945	4.62	1.05	0.99
4533.335449	4.85	-2.60	1.00
4560.001953	3.18	-0.44	0.99
4586.668457	4.11	-3.28	0.99
4613.334961	5.06	-4.84	0.98
4640.001465	4.85	-2.99	0.99
4666.667969	4.51	1.99	1.00
4693.334473	4.83	8.94	0.99
4720.000977	6.36	8.94	0.99
4746.667480	5.25	-1.33	0.99
4773.333984	4.91	-1.51	1.00
4800.000488	4.77	0.03	1.00
4826.666992	5.45	-3.04	0.99
4853.333496	6.34	-2.17	1.00
4880.000000	5.94	-0.32	0.99
4906.666504	5.93	-0.05	1.00
4933.333008	6.02	1.97	0.98
4959.999512	6.38	2.59	1.00
4986.666016	6.26	-0.54	1.00
5013.332520	6.46	-2.06	1.00
5039.999023	6.62	-3.70	1.00
5066.665527	6.75	-6.08	1.00
5093.332031	6.27	-6.45	0.99
5119.998535	5.80	-5.38	1.00
5146.665039	5.97	-4.86	1.00
5173.331543	6.24	-4.89	1.00
5199.998047	6.63	-4.82	1.00
5226.664551	6.56	-9.93	1.00
5253.331055	6.32	-10.65	1.00
5279.997559	6.07	-8.06	1.00
5306.664063	6.12	-6.17	1.00
5333.330566	6.13	-6.96	0.98
5359.997070	6.16	-13.76	0.99
5386.663574	5.79	-14.86	1.00
5413.330078	5.80	-11.29	0.99
5439.996582	5.95	-11.13	0.99
5466.663086	5.73	-17.93	1.00
5493.329590	5.65	-20.66	1.00
5519.996094	5.47	-21.77	0.99
5546.662598	5.97	-18.26	0.98
5573.329102	6.23	-21.63	0.99
5599.995605	5.70	-20.40	0.99
5626.662109	5.04	-16.87	0.96
5653.328613	4.95	-11.02	0.98
5679.995117	6.03	-10.14	0.99
5706.661621	6.57	-17.82	0.99
5733.328125	5.85	-20.91	0.99
5759.994629	4.89	-16.48	0.99
5786.661133	5.07	-14.23	1.00
5813.327637	5.61	-14.27	1.00
5839.994141	6.01	-14.27	1.00
5866.660645	6.21	-15.55	0.99
5893.327148	6.20	-18.57	1.00
5919.993652	5.51	-19.83	1.00
5946.660156	4.96	-20.24	1.00
5973.326660	4.54	-19.30	1.00
5999.993164	3.87	-17.72	0.98
6026.659668	4.92	-22.18	0.98
6053.326172	5.36	-25.16	0.98
6079.992676	4.61	-23.62	0.98
6106.659180	4.59	-21.12	1.00
6133.325684	4.84	-18.54	1.00
6159.992188	5.28	-16.08	1.00
6186.658691	5.59	-16.17	0.99
6213.325195	6.03	-21.80	0.98
6239.991699	5.29	-24.35	0.99
6266.658203	4.55	-23.73	1.00
6293.324707	4.39	-20.28	0.98
6319.991211	6.10	-18.64	0.99
6346.657715	6.61	-26.25	0.98
6373.324219	6.28	-26.61	0.99
6399.990723	5.71	-27.18	1.00
6426.657227	5.59	-26.16	1.00
6453.323730	5.62	-26.08	1.00
6479.990234	5.60	-26.43	1.00
6506.656738	5.68	-26.55	0.99
6533.323242	5.99	-26.64	0.98
6559.989746	6.25	-27.82	0.97
6586.656250	5.49	-29.74	0.99
6613.322754	5.12	-28.96	1.00
6639.989258	5.12	-26.72	1.00
6666.655762	5.30	-28.57	1.00
6693.322266	5.48	-35.20	0.99
6719.988770	4.81	-40.61	0.98
6746.655273	4.53	-39.21	1.00
6773.321777	4.48	-35.01	1.00
6799.988281	5.20	-31.43	1.00
6826.654785	5.37	-32.37	1.00
6853.321289	5.37	-33.37	1.00
6879.987793	5.20	-34.78	1.00
6906.654297	5.09	-36.74	1.00
6933.320801	4.93	-37.43	1.00
6959.987305	4.75	-37.22	1.00
6986.653809	4.84	-37.78	1.00
7013.320313	4.96	-38.99	1.00
7039.986816	4.97	-40.95	1.00
7066.653320	4.68	-42.25	0.99
7093.319824	3.78	-42.33	0.99
7119.986328	3.30	-41.20	0.99
7146.652832	3.38	-38.53	1.00
7173.319336	3.84	-40.60	0.99
7199.985840	4.07	-44.10	1.00
7226.652344	3.88	-45.51	0.99
7253.318848	3.46	-45.67	1.00
7279.985352	3.30	-45.56	1.00
7306.651855	3.19	-44.32	1.00
7333.318359	3.25	-43.68	1.00
7359.984863	3.56	-44.08	0.99
7386.651367	3.34	-48.77	1.00
7413.317871	2.37	-52.09	0.99
7439.984375	1.58	-50.67	0.98
7466.650879	1.75	-45.98	0.95
7493.317383	2.93	-41.72	0.99
7519.983887	3.06	-44.07	1.00
7546.650391	2.58	-46.24	0.99
7573.316895	1.99	-47.35	0.98
7599.983398	1.70	-45.63	0.99
7626.649902	1.96	-42.55	0.99
7653.316406	1.84	-40.90	1.00
7679.982910	1.94	-38.56	1.00
7706.649414	1.99	-38.11	1.00
7733.315918	1.93	-39.26	1.00
7759.982422	1.68	-39.11	1.00
7786.648926	1.59	-36.45	1.00
7813.315430	1.68	-33.54	0.97
7839.981934	2.12	-33.82	1.00
7866.648438	2.00	-36.09	1.00
7893.314941	1.75	-37.72	0.99
7919.981445	1.45	-37.21	1.00
7946.647949	1.57	-35.99	1.00
7973.314453	1.83	-34.93	1.00
7999.980957	2.14	-34.64	1.00
8026.647461	2.35	-34.41	1.00
8053.313965	2.28	-34.69	0.99
8079.980469	2.07	-34.47	1.00
8106.646973	1.94	-34.62	1.00
8133.313477	2.01	-34.93	1.00
8159.979980	2.09	-35.90	1.00
8186.646484	2.05	-37.39	1.00
8213.313477	1.87	-38.45	1.00
8239.980469	1.40	-38.11	0.99
8266.647461	1.26	-37.77	1.00
8293.314453	1.50	-36.49	1.00
8319.981445	1.71	-36.40	1.00
8346.648438	1.81	-37.74	1.00
8373.315430	1.68	-39.50	1.00
8399.982422	1.52	-39.67	1.00
8426.649414	1.44	-39.12	1.00
8453.316406	1.48	-38.20	1.00
8479.983398	1.55	-38.43	1.00
8506.650391	1.43	-38.95	1.00
8533.317383	1.09	-39.97	1.00
8559.984375	0.68	-41.39	1.00
8586.651367	0.30	-40.88	0.99
8613.318359	0.38	-38.38	1.00
8639.985352	0.70	-36.84	1.00
8666.652344	0.71	-37.84	1.00
8693.319336	0.53	-37.73	0.99
8719.986328	0.65	-35.25	0.99
8746.653320	0.55	-35.72	0.99
8773.320313	0.08	-35.77	0.99
8799.987305	0.18	-35.09	1.00
8826.654297	0.49	-34.87	1.00
8853.321289	0.71	-36.90	0.99
8879.988281	0.44	-39.05	1.00
8906.655273	0.06	-39.96	1.00
8933.322266	-0.16	-39.72	1.00
8959.989258	-0.36	-38.60	1.00
8986.656250	-0.41	-38.29	1.00
9013.323242	-0.39	-37.82	1.00
9039.990234	-0.67	-37.48	1.00
9066.657227	-0.89	-36.27	1.00
9093.324219	-0.89	-34.65	1.00
9119.991211	-0.58	-33.40	1.00
9146.658203	-0.44	-33.06	1.00
9173.325195	-0.24	-33.68	1.00
9199.992188	-0.23	-35.06	1.00
9226.659180	-0.38	-34.87	1.00
9253.326172	-0.56	-33.95	1.00
9279.993164	-0.63	-32.26	1.00
9306.660156	-0.63	-30.96	1.00
9333.327148	-0.56	-31.61	1.00
9359.994141	-0.57	-31.99	1.00
9386.661133	-0.67	-31.81	1.00
9413.328125	-0.69	-29.88	1.00
9439.995117	-0.49	-27.88	1.00
9466.662109	-0.23	-27.60	1.00
9493.329102	0.00	-28.30	1.00
9519.996094	0.22	-29.73	0.99
9546.663086	0.21	-30.88	1.00
9573.330078	-0.05	-32.62	1.00
9600.000977	-0.41	-29.96	0.98
9733.333984	-0.48	-35.88	0.99
9866.666992	0.96	-36.58	1.00
10000.000000	-8.16	-39.65	0.92
10133.333008	-2.75	-27.74	1.00
10266.666016	-2.21	-27.86	1.00
10399.999023	-2.86	-21.35	1.00
10533.332031	-2.80	-17.22	1.00
10666.665039	-3.33	-9.97	1.00
10799.998047	-0.80	-6.46	1.00
10933.331055	-0.68	4.83	0.99
11066.664063	0.80	7.88	0.99
11199.997070	2.35	10.72	0.98
11333.330078	2.10	-0.16	0.99
11466.663086	2.32	-0.58	0.98
11599.996094	3.12	-21.12	0.99
11733.329102	2.59	-16.92	0.98
11866.662109	1.37	-17.65	0.96
11999.995117	1.34	-16.85	0.97
12133.328125	2.38	-24.48	1.00
12266.661133	1.94	-23.29	1.00
12399.994141	2.55	-19.62	1.00
12533.327148	1.02	-15.21	1.00
