	RODE 165g		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2319.999512	-3.11	-173.14	1.00
2346.666260	-3.07	-169.15	1.00
2373.333008	-2.55	-167.19	0.98
2399.999756	-0.37	-171.25	0.99
2426.666504	-0.52	-175.50	1.00
2453.333252	-4.12	-177.03	0.99
2480.000000	-6.28	178.97	0.98
2506.666748	-6.02	-163.19	0.95
2533.333496	-1.21	-145.74	0.93
2560.000244	-0.55	-173.49	0.99
2586.666992	-2.68	-172.86	1.00
2613.333740	-3.40	-169.13	1.00
2640.000488	-3.06	-166.83	1.00
2666.667236	-3.36	-150.13	0.97
2693.333984	-1.65	-135.34	0.99
2720.000732	-1.70	-161.53	0.99
2746.667480	-0.28	-171.51	0.99
2773.334229	-2.22	-177.88	0.98
2800.000977	-3.27	-173.21	0.99
2826.667725	-2.90	-150.83	0.99
2853.334473	-1.05	-142.71	0.98
2880.001221	0.22	-158.26	1.00
2906.667969	-1.02	-170.44	0.99
2933.334717	-2.86	-177.26	0.98
2960.001465	-5.51	-164.23	0.99
2986.668213	-4.43	-150.67	1.00
3013.334961	-1.43	-155.33	0.99
3040.001709	0.50	-162.59	0.99
3066.668457	-0.45	-160.05	1.00
3093.335205	-0.21	-157.96	1.00
3120.001953	-1.08	-159.67	0.99
3146.668701	-1.58	-153.71	1.00
3173.335449	-0.53	-143.43	0.98
3200.002197	2.89	-153.01	0.99
3226.668945	0.77	-161.13	1.00
3253.335693	-0.13	-161.63	1.00
3280.002441	-0.68	-159.94	1.00
3306.669189	-0.96	-157.26	1.00
3333.335938	-0.41	-150.82	0.99
3360.002686	0.16	-147.22	1.00
3386.669434	1.00	-147.64	1.00
3413.336182	1.57	-157.00	1.00
3440.002930	1.25	-166.35	0.99
3466.669678	-0.17	-176.66	0.87
3493.336426	-2.58	-162.23	0.85
3520.003174	-0.48	-169.06	0.94
3546.669922	2.31	-153.00	1.00
3573.336670	1.38	-160.95	0.95
3600.003418	0.14	-167.44	0.98
3626.670166	-0.17	-158.75	1.00
3653.336914	-0.07	-157.49	1.00
3680.003662	-0.11	-156.29	0.98
3706.670410	0.46	-138.80	0.94
3733.337158	2.60	-140.67	0.92
3760.003906	2.18	-170.42	0.97
3786.670654	-0.54	-167.07	0.96
3813.337402	-3.74	-165.45	0.97
3840.004150	-2.55	-161.46	0.74
